"consumerID","mode","choice","week","discount","targeting","distance","gender","income"
1,1,0,1,0,1,6.26,1,80.39
1,2,0,1,0,0,3.1,1,80.39
1,3,1,1,0,1,4,1,80.39
1,4,0,1,0,0,10.16,1,80.39
1,0,0,1,0,0,0,1,80.39
1,1,0,2,0,0,6.26,1,80.39
1,2,0,2,0,0,3.1,1,80.39
1,3,1,2,0,0,4,1,80.39
1,4,0,2,0,0,10.16,1,80.39
1,0,0,2,0,0,0,1,80.39
1,1,0,3,0,0,6.26,1,80.39
1,2,0,3,5,0,3.1,1,80.39
1,3,1,3,0,1,4,1,80.39
1,4,0,3,4,0,10.16,1,80.39
1,0,0,3,0,0,0,1,80.39
1,1,0,4,0,1,6.26,1,80.39
1,2,0,4,0,0,3.1,1,80.39
1,3,1,4,0,1,4,1,80.39
1,4,0,4,0,0,10.16,1,80.39
1,0,0,4,0,0,0,1,80.39
1,1,0,5,0,0,6.26,1,80.39
1,2,0,5,0,0,3.1,1,80.39
1,3,1,5,0,0,4,1,80.39
1,4,0,5,0,1,10.16,1,80.39
1,0,0,5,0,0,0,1,80.39
1,1,0,6,0,0,6.26,1,80.39
1,2,0,6,0,0,3.1,1,80.39
1,3,1,6,5,0,4,1,80.39
1,4,0,6,0,0,10.16,1,80.39
1,0,0,6,0,0,0,1,80.39
1,1,0,7,0,1,6.26,1,80.39
1,2,0,7,0,0,3.1,1,80.39
1,3,1,7,0,1,4,1,80.39
1,4,0,7,0,0,10.16,1,80.39
1,0,0,7,0,0,0,1,80.39
1,1,0,8,0,0,6.26,1,80.39
1,2,0,8,4,0,3.1,1,80.39
1,3,1,8,0,1,4,1,80.39
1,4,0,8,2,1,10.16,1,80.39
1,0,0,8,0,0,0,1,80.39
1,1,0,9,0,1,6.26,1,80.39
1,2,0,9,3,0,3.1,1,80.39
1,3,1,9,0,1,4,1,80.39
1,4,0,9,0,0,10.16,1,80.39
1,0,0,9,0,0,0,1,80.39
1,1,0,10,0,1,6.26,1,80.39
1,2,0,10,0,1,3.1,1,80.39
1,3,1,10,0,0,4,1,80.39
1,4,0,10,0,0,10.16,1,80.39
1,0,0,10,0,0,0,1,80.39
1,1,0,11,0,0,6.26,1,80.39
1,2,0,11,0,0,3.1,1,80.39
1,3,1,11,0,0,4,1,80.39
1,4,0,11,0,1,10.16,1,80.39
1,0,0,11,0,0,0,1,80.39
1,1,0,12,0,0,6.26,1,80.39
1,2,0,12,0,1,3.1,1,80.39
1,3,1,12,0,0,4,1,80.39
1,4,0,12,0,0,10.16,1,80.39
1,0,0,12,0,0,0,1,80.39
2,1,0,1,0,0,4.23,0,109.81
2,2,0,1,0,1,5.21,0,109.81
2,3,1,1,0,0,11.87,0,109.81
2,4,0,1,0,1,3.46,0,109.81
2,0,0,1,0,0,0,0,109.81
2,1,1,2,0,0,4.23,0,109.81
2,2,0,2,0,1,5.21,0,109.81
2,3,0,2,0,0,11.87,0,109.81
2,4,0,2,0,0,3.46,0,109.81
2,0,0,2,0,0,0,0,109.81
2,1,0,3,0,1,4.23,0,109.81
2,2,0,3,0,0,5.21,0,109.81
2,3,0,3,0,1,11.87,0,109.81
2,4,1,3,0,0,3.46,0,109.81
2,0,0,3,0,0,0,0,109.81
2,1,0,4,0,0,4.23,0,109.81
2,2,0,4,0,0,5.21,0,109.81
2,3,1,4,0,1,11.87,0,109.81
2,4,0,4,0,0,3.46,0,109.81
2,0,0,4,0,0,0,0,109.81
2,1,0,5,0,1,4.23,0,109.81
2,2,0,5,0,0,5.21,0,109.81
2,3,1,5,0,0,11.87,0,109.81
2,4,0,5,0,0,3.46,0,109.81
2,0,0,5,0,0,0,0,109.81
2,1,0,6,0,0,4.23,0,109.81
2,2,0,6,0,0,5.21,0,109.81
2,3,1,6,0,1,11.87,0,109.81
2,4,0,6,0,0,3.46,0,109.81
2,0,0,6,0,0,0,0,109.81
2,1,0,7,0,0,4.23,0,109.81
2,2,1,7,0,0,5.21,0,109.81
2,3,0,7,0,0,11.87,0,109.81
2,4,0,7,0,0,3.46,0,109.81
2,0,0,7,0,0,0,0,109.81
2,1,0,8,0,0,4.23,0,109.81
2,2,0,8,0,0,5.21,0,109.81
2,3,1,8,0,0,11.87,0,109.81
2,4,0,8,2,0,3.46,0,109.81
2,0,0,8,0,0,0,0,109.81
2,1,0,9,0,1,4.23,0,109.81
2,2,0,9,0,1,5.21,0,109.81
2,3,1,9,0,0,11.87,0,109.81
2,4,0,9,5,0,3.46,0,109.81
2,0,0,9,0,0,0,0,109.81
